ticker,name,sector,role
2467.TW,志聖,Equipment,CORE
3131.TWO,弘塑,Equipment,CORE
3583.TW,辛耘,Equipment,CORE
6640.TWO,均華,Equipment,CORE
6830.TW,汎銓,Equipment,CORE
6187.TWO,萬潤,Equipment,CORE
5443.TWO,均豪,Equipment,DYNAMIC
6139.TW,亞翔,Equipment,DYNAMIC
3680.TWO,家登,Equipment,LEADER
2464.TW,盟立,Equipment,DYNAMIC
3413.TW,京鼎,Equipment,CORE

3711.TW,日月光投控,Packaging,LEADER
2449.TW,京元電子,Packaging,CORE
6239.TW,力成,Packaging,LAG
6147.TWO,頎邦,Packaging,CORE
6257.TW,矽格,Packaging,LAG

2382.TW,廣達,Server,LEADER
3231.TW,緯創,Server,CORE
6669.TW,緯穎,Server,CORE
2356.TW,英業達,Server,DYNAMIC
3706.TW,神達,Server,DYNAMIC
2376.TW,技嘉,Server,CORE
2377.TW,微星,Server,DYNAMIC

2313.TW,華通,PCB,LAG
3037.TW,欣興,PCB,CORE
8046.TWO,南電,PCB,DYNAMIC
3189.TWO,景碩,PCB,DYNAMIC
2368.TW,金像電,PCB,CORE
3044.TW,健鼎,PCB,LAG
8155.TWO,博智,PCB,LAG

2330.TW,台積電,Core,LEADER
2454.TW,聯發科,Core,LEADER
3661.TW,世芯-KY,Core,LEADER
3443.TW,創意,Core,CORE
